100 500
78 47 3
51 74 6
0 86 1
50 89 9
18 81 5
15 93 6
16 22 7
48 36 10
7 88 3
16 68 1
6 87 4
31 41 4
83 33 5
77 28 1
91 34 10
65 90 3
53 45 4
45 59 5
71 76 2
3 90 9
35 84 10
25 9 3
52 50 7
80 3 2
48 22 3
36 0 6
67 52 5
13 16 4
84 17 6
78 17 2
81 2 1
93 5 3
50 51 4
32 93 5
97 64 3
31 2 7
74 91 1
28 21 6
37 72 6
65 59 1
39 67 6
47 3 8
43 17 1
33 37 3
65 40 6
66 13 4
46 30 9
89 96 3
46 61 5
91 60 8
38 56 2
14 97 7
65 24 3
56 61 10
17 66 8
58 57 4
63 10 1
71 52 8
71 63 8
83 55 10
8 15 4
60 95 9
32 62 3
28 39 9
29 50 5
44 40 4
86 40 8
64 93 8
8 38 5
12 4 6
73 50 4
55 12 3
36 33 2
44 89 9
40 0 4
2 34 9
9 19 3
56 12 5
87 41 2
94 29 2
9 61 8
78 66 6
0 82 2
39 14 8
88 97 5
54 75 5
22 94 5
6 2 8
0 47 8
21 67 2
65 54 6
76 53 6
29 77 4
60 3 5
37 71 8
13 94 2
68 56 6
51 58 10
35 41 1
49 25 4
97 5 5
28 24 1
83 1 1
98 4 8
79 87 1
17 62 5
32 16 7
88 97 9
61 81 8
29 34 1
20 59 5
67 24 8
14 16 3
77 41 4
6 36 10
57 71 4
59 79 10
72 14 6
37 7 9
65 16 1
58 17 1
13 33 5
15 69 10
92 18 7
58 63 4
89 53 3
88 62 10
89 30 10
45 95 6
62 38 1
15 42 1
59 3 1
15 31 10
21 71 8
2 85 3
9 15 9
44 16 9
72 47 7
83 99 5
33 47 1
16 31 3
33 61 2
6 74 9
43 98 4
77 29 2
68 41 3
51 46 3
53 65 9
28 8 6
25 90 6
74 78 10
6 67 5
41 96 5
7 52 5
12 45 10
81 57 10
98 34 7
53 27 9
23 60 8
34 26 8
36 62 4
92 90 3
23 72 9
6 24 3
99 73 1
91 17 3
90 52 1
61 53 7
15 65 7
43 7 2
88 20 2
5 10 1
84 45 1
77 86 5
98 37 4
74 48 9
20 12 8
39 55 2
74 81 6
81 42 7
18 93 1
22 93 2
47 81 4
87 39 6
38 96 8
16 88 1
6 66 3
71 20 8
65 49 6
63 26 5
79 29 8
27 71 9
47 87 1
22 70 9
83 72 9
11 15 8
17 60 1
69 88 5
71 27 6
58 12 5
15 72 9
70 21 3
69 92 2
25 63 10
47 31 7
34 21 4
75 67 1
98 63 10
98 55 6
3 1 3
8 5 8
87 73 8
87 62 8
70 13 4
18 74 9
54 28 2
17 7 3
25 29 8
9 70 9
34 14 10
48 56 4
68 28 8
68 42 10
30 72 8
63 72 8
88 45 8
48 90 2
50 49 3
62 93 6
97 83 6
10 29 7
72 91 7
61 22 4
44 82 5
46 24 10
21 54 6
89 70 8
20 19 5
90 24 9
12 97 9
37 51 9
5 43 1
7 85 9
80 22 9
78 70 3
73 21 8
63 29 5
70 69 6
74 92 9
84 40 2
59 92 3
48 21 1
98 83 6
12 51 1
83 64 8
14 27 1
16 38 3
30 26 8
89 28 6
3 98 2
20 75 8
19 84 8
86 67 6
38 0 6
